duration,proto,service,conn_state,orig_bytes,resp_bytes,missed_bytes,orig_pkts,orig_ip_bytes
2.998333,tcp,-,S0,0,0,0,3,180
0,tcp,-,S0,0,0,0,1,60
2.997182,tcp,-,S0,0,0,0,3,180
0,tcp,-,S0,0,0,0,1,60
2.996286,tcp,-,S0,0,0,0,3,180
0,tcp,-,S0,0,0,0,1,60
2.995263,tcp,-,S0,0,0,0,3,180
0,tcp,-,S0,0,0,0,1,60
2.999262,tcp,-,S0,0,0,0,3,180
0,tcp,-,S0,0,0,0,1,60
2.998315,tcp,-,S0,0,0,0,3,180
0,tcp,-,S0,0,0,0,1,60
2.999395,tcp,-,S0,0,0,0,3,180
0.012703,udp,-,SF,48,48,0,1,76
35.017664,udp,-,SF,288,288,0,6,456
38.01765,udp,-,SF,288,288,0,6,456
0,tcp,-,S0,0,0,0,1,60
2.998379,tcp,-,S0,0,0,0,3,180
0,tcp,-,S0,0,0,0,1,60
2.997387,tcp,-,S0,0,0,0,3,180
0,tcp,-,S0,0,0,0,1,60
2.996386,tcp,-,S0,0,0,0,3,180
68.014546,udp,-,SF,336,336,0,7,532
0,tcp,-,S0,0,0,0,1,60
2.995237,tcp,-,S0,0,0,0,3,180
0,tcp,-,S0,0,0,0,1,60
2.994315,tcp,-,S0,0,0,0,3,180
0,tcp,-,S0,0,0,0,1,60
2.993339,tcp,-,S0,0,0,0,3,180
0.017674,udp,-,SF,48,48,0,1,76
0.014011,udp,-,SF,48,48,0,1,76
0.018252,udp,-,SF,48,48,0,1,76
0,tcp,-,S0,0,0,0,1,60
2.992238,tcp,-,S0,0,0,0,3,180
0,tcp,-,S0,0,0,0,1,60
2.991271,tcp,-,S0,0,0,0,3,180
0,tcp,-,S0,0,0,0,1,60
2.990213,tcp,-,S0,0,0,0,3,180
0.018314,udp,-,SF,48,48,0,1,76
0,tcp,-,S0,0,0,0,1,60
2.999201,tcp,-,S0,0,0,0,3,180
0,tcp,-,S0,0,0,0,1,60
2.998286,tcp,-,S0,0,0,0,3,180
0,tcp,-,S0,0,0,0,1,60
2.997323,tcp,-,S0,0,0,0,3,180
0.012828,udp,-,SF,48,48,0,1,76
0.009598,udp,-,SF,48,48,0,1,76
0.013885,udp,-,SF,48,48,0,1,76
64.045412,tcp,irc,RSTR,92,190,0,8,516
0,tcp,-,S0,0,0,0,1,60
2.996469,tcp,-,S0,0,0,0,3,180
0,tcp,-,S0,0,0,0,1,60
2.995284,tcp,-,S0,0,0,0,3,180
0,tcp,-,S0,0,0,0,1,60
2.994395,tcp,-,S0,0,0,0,3,180
0.013094,udp,-,SF,48,48,0,1,76
0,tcp,-,S0,0,0,0,1,60
2.993343,tcp,-,S0,0,0,0,3,180
0,tcp,-,S0,0,0,0,1,60
2.999298,tcp,-,S0,0,0,0,3,180
0,tcp,-,S0,0,0,0,1,60
2.998251,tcp,-,S0,0,0,0,3,180
0.015365,udp,-,SF,48,48,0,1,76
0.00987,udp,-,SF,48,48,0,1,76
0.02243,udp,-,SF,48,48,0,1,76
0,tcp,-,S0,0,0,0,1,60
2.997321,tcp,-,S0,0,0,0,3,180
0,tcp,-,S0,0,0,0,1,60
2.999265,tcp,-,S0,0,0,0,3,180
0,tcp,-,S0,0,0,0,1,60
0.077261,tcp,-,OTH,36,280,0,5,296
2.99834,tcp,-,S0,0,0,0,3,180
0.016475,udp,-,SF,48,48,0,1,76
0,tcp,-,S0,0,0,0,1,60
2.997381,tcp,-,S0,0,0,0,3,180
0,tcp,-,S0,0,0,0,1,60
2.996482,tcp,-,S0,0,0,0,3,180
0,tcp,-,S0,0,0,0,1,60
2.995403,tcp,-,S0,0,0,0,3,180
0.014171,udp,-,SF,48,48,0,1,76
0.011087,udp,-,SF,48,48,0,1,76
0,tcp,-,S0,0,0,0,1,60
0.012331,udp,-,SF,48,48,0,1,76
2.994456,tcp,-,S0,0,0,0,3,180
0,tcp,-,S0,0,0,0,1,60
2.993451,tcp,-,S0,0,0,0,3,180
0,tcp,-,S0,0,0,0,1,60
2.999268,tcp,-,S0,0,0,0,3,180
0.015773,udp,-,SF,48,48,0,1,76
0,tcp,-,S0,0,0,0,1,60
2.998259,tcp,-,S0,0,0,0,3,180
0,tcp,-,S0,0,0,0,1,60
2.99713,tcp,-,S0,0,0,0,3,180
0,tcp,-,S0,0,0,0,1,60
2.996291,tcp,-,S0,0,0,0,3,180
0.016996,udp,-,SF,48,48,0,1,76
0.010776,udp,-,SF,48,48,0,1,76
0,tcp,-,S0,0,0,0,1,60
0.012389,udp,-,SF,48,48,0,1,76
2.995068,tcp,-,S0,0,0,0,3,180